Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
MIR519A1	MicroRNA 519a-1	RNA Gene		18	GC19P053752	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR519A1
MIR1469	MicroRNA 1469	RNA Gene		16	GC15P096333	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1469
MIR448	MicroRNA 448	RNA Gene		13	GC0XP114823	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR448
LOC117134604	TMPRSS2 Promoter Region	Functional Element		9	GC21P041507	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134604
LOC117134608	TMPRSS2 Androgen Receptor-Responsive -13 Kb Enhancer	Functional Element		9	GC21P041519	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134608
LOC117134611	TMPRSS2 -17 Kb Enhancer	Functional Element		9	GC21P041525	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134611
LOC117135104	TMPRSS2 E3 Enhancer	Functional Element		9	GC21P041529	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135104
LOC117135105	TMPRSS2 E4 Enhancer	Functional Element		9	GC21P041535	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135105
LOC117135106	TMPRSS2 Androgen Receptor-Responsive -60 Kb Enhancer	Functional Element		9	GC21P041568	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135106
LOC117134605	TMPRSS2 Repressive Element NBS1	Functional Element		2	GC21P041510	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134605
LOC117134606	TMPRSS2 Repressive Element NBS2	Functional Element		2	GC21P041511	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134606
LOC117134607	TMPRSS2 Repressive Element NBS4	Functional Element		2	GC21P041518	0.860080242156982	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134607
FN1	Fibronectin 1	Protein Coding	P02751	63	GC02M215360	0.856873273849487	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1
FZD5	Frizzled Class Receptor 5	Protein Coding	Q13467	58	GC02M207762	0.854388773441315	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD5
GAB1	GRB2 Associated Binding Protein 1	Protein Coding	Q13480	58	GC04P143336	0.854388773441315	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAB1
WNT5B	Wnt Family Member 5B	Protein Coding	Q9H1J7	54	GC12P001529	0.854388773441315	https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT5B
PTPN1	Protein Tyrosine Phosphatase Non-Receptor Type 1	Protein Coding	P18031	62	GC20P050510	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1
SLC12A2	Solute Carrier Family 12 Member 2	Protein Coding	P55011	62	GC05P128083	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A2
FGF1	Fibroblast Growth Factor 1	Protein Coding	P05230	59	GC05M142555	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1
GALNT3	Polypeptide N-Acetylgalactosaminyltransferase 3	Protein Coding	Q14435	58	GC02M165747	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT3
GANAB	Glucosidase II Alpha Subunit	Protein Coding	Q14697	58	GC11M132679	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GANAB
MYH10	Myosin Heavy Chain 10	Protein Coding	P35580	58	GC17M008474	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH10
COL6A3	Collagen Type VI Alpha 3 Chain	Protein Coding	P12111	57	GC02M237324	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A3
NAA10	N-Alpha-Acetyltransferase 10, NatA Catalytic Subunit	Protein Coding	P41227	57	GC0XM153929	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAA10
CHD2	Chromodomain Helicase DNA Binding Protein 2	Protein Coding	O14647	56	GC15P176332	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD2
CHD3	Chromodomain Helicase DNA Binding Protein 3	Protein Coding	Q12873	56	GC17P132672	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD3
DHX9	DExH-Box Helicase 9	Protein Coding	Q08211	56	GC01P182839	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9
P4HA2	Prolyl 4-Hydroxylase Subunit Alpha 2	Protein Coding	O15460	56	GC05M132193	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA2
SPI1	Spi-1 Proto-Oncogene	Protein Coding	P17947	56	GC11M132469	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPI1
CHD8	Chromodomain Helicase DNA Binding Protein 8	Protein Coding	Q9HCK8	55	GC14M021385	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD8
MSH3	MutS Homolog 3	Protein Coding	P20585	55	GC05P080654	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3
PSMD2	Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 2	Protein Coding	Q13200	55	GC03P184991	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD2
BAZ1B	Bromodomain Adjacent To Zinc Finger Domain 1B	Protein Coding	Q9UIG0	54	GC07M073440	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAZ1B
GATAD2B	GATA Zinc Finger Domain Containing 2B	Protein Coding	Q8WXI9	54	GC01M165042	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATAD2B
HOXA1	Homeobox A1	Protein Coding	P49639	54	GC07M027092	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA1
PUF60	Poly(U) Binding Splicing Factor 60	Protein Coding	Q9UHX1	54	GC08M143816	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUF60
TRIP12	Thyroid Hormone Receptor Interactor 12	Protein Coding	Q14669	54	GC02M229763	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP12
VANGL1	VANGL Planar Cell Polarity Protein 1	Protein Coding	Q8TAA9	54	GC01P115641	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VANGL1
GIT1	GIT ArfGAP 1	Protein Coding	Q9Y2X7	53	GC17M029573	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIT1
CELF1	CUGBP Elav-Like Family Member 1	Protein Coding	Q92879	52	GC11M132472	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF1
IMMT	Inner Membrane Mitochondrial Protein	Protein Coding	Q16891	52	GC02M086144	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMMT
ITGAE	Integrin Subunit Alpha E	Protein Coding	P38570	52	GC17M088106	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAE
NCAPD3	Non-SMC Condensin II Complex Subunit D3	Protein Coding	P42695	52	GC11M134150	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPD3
RREB1	Ras Responsive Element Binding Protein 1	Protein Coding	Q92766	52	GC06P007107	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RREB1
SYVN1	Synoviolin 1	Protein Coding	Q86TM6	52	GC11M132790	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYVN1
TLK1	Tousled Like Kinase 1	Protein Coding	Q9UKI8	52	GC02M170990	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLK1
BCLAF1	BCL2 Associated Transcription Factor 1	Protein Coding	Q9NYF8	51	GC06M136256	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCLAF1
BTAF1	B-TFIID TATA-Box Binding Protein Associated Factor 1	Protein Coding	O14981	51	GC10P091923	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTAF1
CDK11B	Cyclin Dependent Kinase 11B	Protein Coding	P21127	51	GC01M019499	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11B
CHAF1B	Chromatin Assembly Factor 1 Subunit B	Protein Coding	Q13112	51	GC21P036385	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAF1B
FAT4	FAT Atypical Cadherin 4	Protein Coding	Q6V0I7	51	GC04P125315	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT4
FUBP1	Far Upstream Element Binding Protein 1	Protein Coding	Q96AE4	51	GC01M077944	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUBP1
NEBL	Nebulette	Protein Coding	O76041	51	GC10M020779	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEBL
TSPAN1	Tetraspanin 1	Protein Coding	O60635	51	GC01P046175	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN1
CDK11A	Cyclin Dependent Kinase 11A	Protein Coding	Q9UQ88	50	GC01M001702	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11A
CLASP2	Cytoplasmic Linker Associated Protein 2	Protein Coding	O75122	50	GC03M033537	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASP2
LUC7L3	LUC7 Like 3 Pre-MRNA Splicing Factor	Protein Coding	O95232	50	GC17P050719	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUC7L3
PSMD5	Proteasome 26S Subunit, Non-ATPase 5	Protein Coding	Q16401	50	GC09M120815	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD5
DIDO1	Death Inducer-Obliterator 1	Protein Coding	Q9BTC0	49	GC20M062877	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIDO1
ERRFI1	ERBB Receptor Feedback Inhibitor 1	Protein Coding	Q9UJM3	49	GC01M008004	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERRFI1
HNRNPAB	Heterogeneous Nuclear Ribonucleoprotein A/B	Protein Coding	Q99729	49	GC05P178204	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPAB
NCAPG2	Non-SMC Condensin II Complex Subunit G2	Protein Coding	Q86XI2	49	GC07M158631	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPG2
FNBP1	Formin Binding Protein 1	Protein Coding	Q96RU3	48	GC09M129887	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNBP1
SOX7	SRY-Box Transcription Factor 7	Protein Coding	Q9BT81	47	GC08M010723	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX7
BCL9L	BCL9 Like	Protein Coding	Q86UU0	45	GC11M118893	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9L
CFAP251	Cilia And Flagella Associated Protein 251	Protein Coding	Q8TBY9	45	GC12P136466	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP251
RAB3D	RAB3D, Member RAS Oncogene Family	Protein Coding	O95716	45	GC19M011322	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3D
RBMS3	RNA Binding Motif Single Stranded Interacting Protein 3	Protein Coding	Q6XE24	44	GC03P028575	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMS3
FAM83A	Family With Sequence Similarity 83 Member A	Protein Coding	Q86UY5	42	GC08P123178	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM83A
FBXL18	F-Box And Leucine Rich Repeat Protein 18	Protein Coding	Q96ME1	42	GC07M005431	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL18
CMTM3	CKLF Like MARVEL Transmembrane Domain Containing 3	Protein Coding	Q96MX0	40	GC16P105813	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMTM3
ZNF574	Zinc Finger Protein 574	Protein Coding	Q6ZN55	40	GC19P042068	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF574
TERC	Telomerase RNA Component	RNA Gene		37	GC03M169765	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC
FER1L4	Fer-1 Like Family Member 4 (Pseudogene)	Pseudogene		30	GC20M035558	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FER1L4
MIR151A	MicroRNA 151a	RNA Gene		28	GC08M140980	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR151A
MIR302D	MicroRNA 302d	RNA Gene		28	GC04M112648	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302D
MIR874	MicroRNA 874	RNA Gene		26	GC05M137647	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR874
LINC01088	Long Intergenic Non-Protein Coding RNA 1088	RNA Gene		25	GC04P079082	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01088
MIR492	MicroRNA 492	RNA Gene		24	GC12P094834	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR492
MIR942	MicroRNA 942	RNA Gene		24	GC01P117094	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR942
MIR616	MicroRNA 616	RNA Gene		23	GC12M057519	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR616
MIR767	MicroRNA 767	RNA Gene		23	GC0XM152393	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR767
VTRNA2-1	Vault RNA 2-1	RNA Gene		23	GC05M136081	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTRNA2-1
MIR572	MicroRNA 572	RNA Gene		22	GC04P026800	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR572
LINC00355	Long Intergenic Non-Protein Coding RNA 355	RNA Gene		20	GC13M063838	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00355
LINC01315	Long Intergenic Non-Protein Coding RNA 1315	RNA Gene		20	GC22M081604	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01315
RNF217-AS1	RNF217 Antisense RNA 1 (Head To Head)	RNA Gene		20	GC06M124563	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF217-AS1
MIR4324	MicroRNA 4324	RNA Gene		15	GC19M049308	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4324
LOC111162621	DeltaNp63 Promoter Of Tumor Protein P63	Functional Element		2	GC03P189786	0.840200901031494	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111162621
PIK3CB	Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta	Protein Coding	P42338	62	GC03M138652	0.834509432315826	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB
LCN2	Lipocalin 2	Protein Coding	P80188	58	GC09P128149	0.821595728397369	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN2
IDH2	Isocitrate Dehydrogenase (NADP(+)) 2	Protein Coding	P48735	65	GC15M090083	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2
ACTN1	Actinin Alpha 1	Protein Coding	P12814	62	GC14M068874	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1
DAPK1	Death Associated Protein Kinase 1	Protein Coding	P53355	62	GC09P087497	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1
PKN1	Protein Kinase N1	Protein Coding	Q16512	61	GC19P014433	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN1
DES	Desmin	Protein Coding	P17661	60	GC02P219418	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES
EEF1A2	Eukaryotic Translation Elongation Factor 1 Alpha 2	Protein Coding	Q05639	60	GC20M063488	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A2
BCL6	BCL6 Transcription Repressor	Protein Coding	P41182	59	GC03M187721	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL6
ERCC1	ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit	Protein Coding	P07992	59	GC19M101124	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC1
ERCC4	ERCC Excision Repair 4, Endonuclease Catalytic Subunit	Protein Coding	Q92889	59	GC16P013920	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC4
HADHA	Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha	Protein Coding	P40939	59	GC02M026190	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA
MEF2A	Myocyte Enhancer Factor 2A	Protein Coding	Q02078	59	GC15P099565	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2A
PKLR	Pyruvate Kinase L/R	Protein Coding	P30613	59	GC01M155289	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKLR
THBS2	Thrombospondin 2	Protein Coding	P35442	59	GC06M169215	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS2
SLC25A13	Solute Carrier Family 25 Member 13	Protein Coding	Q9UJS0	58	GC07M096120	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13
TKT	Transketolase	Protein Coding	P29401	58	GC03M053224	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TKT
EIF4A2	Eukaryotic Translation Initiation Factor 4A2	Protein Coding	Q14240	57	GC03P186783	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A2
RPS6	Ribosomal Protein S6	Protein Coding	P62753	57	GC09M019375	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6
SOX10	SRY-Box Transcription Factor 10	Protein Coding	P56693	57	GC22M083306	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX10
GPNMB	Glycoprotein Nmb	Protein Coding	Q14956	56	GC07P024381	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPNMB
LIF	LIF Interleukin 6 Family Cytokine	Protein Coding	P15018	56	GC22M030240	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIF
NFIB	Nuclear Factor I B	Protein Coding	O00712	56	GC09M014077	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIB
RPS20	Ribosomal Protein S20	Protein Coding	P60866	56	GC08M056067	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20
TRAP1	TNF Receptor Associated Protein 1	Protein Coding	Q12931	56	GC16M027068	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAP1
CCR6	C-C Motif Chemokine Receptor 6	Protein Coding	P51684	55	GC06P167111	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6
CUL2	Cullin 2	Protein Coding	Q13617	55	GC10M036431	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2
EIF4B	Eukaryotic Translation Initiation Factor 4B	Protein Coding	P23588	55	GC12P053006	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4B
HSPA2	Heat Shock Protein Family A (Hsp70) Member 2	Protein Coding	P54652	55	GC14P064535	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA2
LOXL1	Lysyl Oxidase Like 1	Protein Coding	Q08397	55	GC15P073925	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL1
NPEPPS	Aminopeptidase Puromycin Sensitive	Protein Coding	P55786	55	GC17P047522	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPEPPS
PDCD6IP	Programmed Cell Death 6 Interacting Protein	Protein Coding	Q8WUM4	55	GC03P033798	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6IP
PSMA2	Proteasome 20S Subunit Alpha 2	Protein Coding	P25787	55	GC07M042916	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA2
PTRH2	Peptidyl-TRNA Hydrolase 2	Protein Coding	Q9Y3E5	55	GC17M059674	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTRH2
RPL21	Ribosomal Protein L21	Protein Coding	P46778	55	GC13P027251	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL21
ZBTB16	Zinc Finger And BTB Domain Containing 16	Protein Coding	Q05516	55	GC11P114059	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB16
MAP3K4	Mitogen-Activated Protein Kinase Kinase Kinase 4	Protein Coding	Q9Y6R4	54	GC06P160991	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K4
PABPC1	Poly(A) Binding Protein Cytoplasmic 1	Protein Coding	P11940	54	GC08M100685	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1
RANGAP1	Ran GTPase Activating Protein 1	Protein Coding	P46060	54	GC22M041244	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANGAP1
TUSC3	Tumor Suppressor Candidate 3	Protein Coding	Q13454	54	GC08P015417	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUSC3
UBE3C	Ubiquitin Protein Ligase E3C	Protein Coding	Q15386	54	GC07P157138	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3C
WWP2	WW Domain Containing E3 Ubiquitin Protein Ligase 2	Protein Coding	O00308	54	GC16P106039	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWP2
BVES	Blood Vessel Epicardial Substance	Protein Coding	Q8NE79	53	GC06M105096	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BVES
CISD2	CDGSH Iron Sulfur Domain 2	Protein Coding	Q8N5K1	53	GC04P102868	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISD2
CLCA2	Chloride Channel Accessory 2	Protein Coding	Q9UQC9	52	GC01P086424	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCA2
COPB1	COPI Coat Complex Subunit Beta 1	Protein Coding	P53618	52	GC11M014436	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPB1
GIGYF2	GRB10 Interacting GYF Protein 2	Protein Coding	Q6Y7W6	52	GC02P233824	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIGYF2
MT3	Metallothionein 3	Protein Coding	P25713	52	GC16P056589	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT3
PSMD1	Proteasome 26S Subunit, Non-ATPase 1	Protein Coding	Q99460	52	GC02P231056	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD1
TIMELESS	Timeless Circadian Regulator	Protein Coding	Q9UNS1	52	GC12M056416	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMELESS
ANXA4	Annexin A4	Protein Coding	P09525	51	GC02P069659	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA4
HOXB7	Homeobox B7	Protein Coding	P09629	51	GC17M048607	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB7
KLK10	Kallikrein Related Peptidase 10	Protein Coding	O43240	51	GC19M051012	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK10
NEK4	NIMA Related Kinase 4	Protein Coding	P51957	51	GC03M052708	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK4
SESN2	Sestrin 2	Protein Coding	P58004	51	GC01P061357	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SESN2
ARIH1	Ariadne RBR E3 Ubiquitin Protein Ligase 1	Protein Coding	Q9Y4X5	50	GC15P072474	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARIH1
SEPTIN2	Septin 2	Protein Coding	Q15019	50	GC02P241335	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN2
MPRIP	Myosin Phosphatase Rho Interacting Protein	Protein Coding	Q6WCQ1	49	GC17P017042	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPRIP
RPS25	Ribosomal Protein S25	Protein Coding	P62851	49	GC11M119015	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS25
EIF3C	Eukaryotic Translation Initiation Factor 3 Subunit C	Protein Coding	Q99613	48	GC16P104783	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3C
RPL38	Ribosomal Protein L38	Protein Coding	P63173	48	GC17P134542	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL38
NUSAP1	Nucleolar And Spindle Associated Protein 1	Protein Coding	Q9BXS6	47	GC15P175131	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUSAP1
TGIF2	TGFB Induced Factor Homeobox 2	Protein Coding	Q9GZN2	47	GC20P036573	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGIF2
NACA	Nascent Polypeptide Associated Complex Subunit Alpha	Protein Coding	E9PAV3	46	GC12M056712	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NACA
CORO7	Coronin 7	Protein Coding	P57737	45	GC16M027086	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CORO7
MZF1	Myeloid Zinc Finger 1	Protein Coding	P28698	45	GC19M101711	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MZF1
REPIN1	Replication Initiator 1	Protein Coding	Q9BWE0	45	GC07P150368	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=REPIN1
ZFP91	ZFP91 Zinc Finger Protein, Atypical E3 Ubiquitin Ligase	Protein Coding	Q96JP5	45	GC11P059081	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP91
FOXD1	Forkhead Box D1	Protein Coding	Q16676	44	GC05M073444	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXD1
ITGBL1	Integrin Subunit Beta Like 1	Protein Coding	O95965	43	GC13P101454	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGBL1
CAMSAP3	Calmodulin Regulated Spectrin Associated Protein Family Member 3	Protein Coding	Q9P1Y5	42	GC19P007595	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMSAP3
SNAI3	Snail Family Transcriptional Repressor 3	Protein Coding	Q3KNW1	40	GC16M088677	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI3
C16orf96	Chromosome 16 Open Reading Frame 96	Protein Coding	A6NNT2	33	GC16P104122	0.818843126296997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C16orf96
